Numero,D,Dif.,Depart de la randonnee,Parcours,C.V. *,Kl,➚m,Ref Openrunner,Dernier Prog,Lien,
100,99,2,Vacqueyras,Pkg les Leques -Vacqueyras,3,"11,5",61,0020102898,16/3/2023,0020102898,
440,327,3,Vacqueyras,Tour Sarrasine - grottes Ambrosis,,10,300,0019576085,26/4/2018,0019576085,
25,25,2,Vaison la Romaine,Vaison la romaine,4,10,230,0020038949,28/3/2024,0020038949,
38,38,3,Vaison la Romaine,OT-Foret communale,4,12,384,0020071558,14/5/2024,0020071558,
112,111,3,Vaison la Romaine,Entre Vaison et Seguret,4,15,450,0019591314,30/12/1899,0019591314,
205,181,3,Vaison la Romaine,cimetiere Ste Catherine-Entre Vaison et Seguret,4,16,220,,4/12/2018,https://www.openrunner.com/r/,
392,286,2,Vaison la Romaine,chapelle st siffrein et jardin des demoiselles,4,10,293,,5/5/2022,https://www.openrunner.com/r/,
472,352,3,Vaison la Romaine,Vaison,4,11,230,,5/1/2021,https://www.openrunner.com/r/SI(ESTERREUR(,
502,371,2,Vaison la Romaine,Cimetiere ste Catherine entre vaison et seguret rando 2 groupes,4,16,220,,19/3/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
562,419,2,Vaison la romaine,La vierge noire,4,11,250,0020147932,17/6/2021,0020147932,
50,50,3,Veaux,Gorges du toulourenc,4,9,350,0016461716,3/9/2024,0016461716,
531,392,2,Veaux,Toulourenc,4,9,350,,25/6/2019,https://www.openrunner.com/r/SI(ESTERREUR(,
9,9,2,Velleron ,Autour de Piegros,3,9,180,0019591361,1/2/2024,0019591361,
242,203,2,Velleron ,Pont du Pichichi-le tour de piegros,"2,5",9,250,0020141300,23/12/2021,0020141300,
7,7,2,Venasque,Pkg du chateau Autour de Venasque,2,11,270,0019591654,25/1/2024,0019591654,
39,39,3,Venasque,Combe Capellan,"2,5",12,460,0019591329,16/5/2024,0019591329,
83,82,3,Venasque,Chateau le tour de Venasque,2,13,300,0019591654,17/1/2023,0019591654,
104,103,2,Venasque, Route de Murs Combe Capellan,"2,5",11,366,0020052196,30/3/2023,0020052196,
